Hebrew	Definition	Gender	PartOfSpeech	Shoresh	Audio	Inflections	Extended	Image	Tags
רוֹצוֹת	want (f, p)	פָּעַ	v	ר־צ־ה		הוֹוֶהרוֹצֶהrotzeרוֹצָהrotzaרוֹצִיםrotzimרוֹצוֹתrotzotעָבָררָצִיתִיratzitiרָצִינוּratzinuרָצִיתָratzitaרָצִיתratzitרְצִיתֶםretzitemרְצִיתֶןretzitenרָצָהratzaרָצְתָהratztaרָצוּratzuעָתִידאֶרְצֶהertzeנִרְצֶהnirtzeתִּרְצֶהtirtzeתִּרְצִיtirtziתִּרְצוּtirtzuתִּרְצֶינָהtirtzenaיִרְצֶהyirtzeתִּרְצֶהtirtzeיִרְצוּyirtzuתִּרְצֶינָהtirtzenaצִוּוּירְצֵה!‏retze!רְצִי!‏retzi!רְצוּ!‏retzu!רְצֶינָה!‏retzena!			0-4 Food1 Level08 ר־צ־ה assimil-10
קָפֶה	coffee	ז	n			קָפִים	"From Arabic qahwa, said to originally refer to a wine served likewise and deemed an appetite suppressant (qahiya, ""lack hunger"")."		0-6 Food1 Level08 assimil-10
עוּגָה	cake	נ	n			עוּגוֹת			0-4 Letters3 Level03 Level10 Plurals assimil-10
בְּבַקָשָׁה	please; you're welcome			ב־ק־שׁ			בַּקָּשָׁה: request בבקשה לא לדחוף!‏Please don't push! [not to] תכתוב את השם שלך, בבקשה.‏Write your name [down], please. בבקשה תשלח לי את זה בקרוב.‏Please send it to me soon.		0-6 Level04 Phrases ב־ק־שׁ assimil-10
יֵשׁ	there is/are/exist; existence, Being, entity	ז	adv n			with לְ־: sth./so. has	יש פה מַשֶּׁהוּthere's something here		0-5 Level06 ThereIs assimil-10
גְבִינָה	cheese	נ	n	ג־ב־ן		גְּבִינוֹת			1-09 Food1 Level08 Level10 Plurals ג־ב־ן assimil-10
אֲבָל	but, however		conj						0-6 Conjunctions Level20 assimil-10
אוֹ	or, either		ptcl						0-3 assimil-10
שׁוֹקוֹלָד	chocolate	ז	n				"some Nahuatl (chocol, ""stick for preparing choc."" + ātl, “water”: used to be drunken) or Yucatec Maya (chocol, ""hot"")"		0-4 Food1 Level08 assimil-10
שָׁלוֹם	hello, goodbye; peace, rest, welfare	ז	n interj	שׁ־ל־ם					0-3 Level04 Level65 Phrases Politics שׁ־ל־ם assimil-11
אַתֶם	"you, ""you guys"" (pl.)"	ז	pro						0-3 Basics Level05 assimil-11
שׁוֹתִים	drink (m, p)	פָּעַ	v	שׁ־ת־ה		הוֹוֶהשׁוֹתֶהshoteשׁוֹתָהshotaשׁוֹתִיםshotimשׁוֹתוֹתshototעָבָרשָׁתִיתִיshatitiשָׁתִינוּshatinuשָׁתִיתָshatitaשָׁתִיתshatitשְׁתִיתֶםshtitemשְׁתִיתֶןshtitenשָׁתָהshataשָׁתְתָהshatetaשָׁתוּshatuעָתִידאֶשְׁתֶּהeshteנִשְׁתֶּהnishteתִּשְׁתֶּהtishteתִּשְׁתִּיtishtiתִּשְׁתּוּtishtuתִּשְׁתֶּינָהtishtenaיִשְׁתֶּהyishteתִּשְׁתֶּהtishteיִשְׁתּוּyishtuתִּשְׁתֶּינָהtishtenaצִוּוּישְׁתֵה!‏shte!שְׁתִי!‏shti!שְׁתוּ!‏shtu!שְׁתֶינָה!‏shtena!	אנחנו לא שותים יין, כאן כולם שותים מים.‏We don't drink wine, everyone here drinks water.		0-4 Food1 Level08 שׁ־ת־ה assimil-11
טוּרְקִי	Turkish	ז	a			טוּרְקִית	Proto-Turkic *türi- (lineage, ancestry)		1-23 assimil-11
נֵס	miracle, wonder	ז	n	נ־ס־ס		נִיסִּים	בנסmiraculously נֵס לֹא קָרָה לָנוּA miracle did not happen to us		1-27 נ־ס־ס assimil-11
סוּכָּר	sugar	ז	n			סוּכָּרִים	"via Arabic from Proto-Indo-European *ḱorkeh₂, ""gravel, boulder"""		0-5 Food1 Level08 assimil-11
שׁוֹתוֹת	drink (f, p)	פָּעַ	v	שׁ־ת־ה		הוֹוֶהשׁוֹתֶהshoteשׁוֹתָהshotaשׁוֹתִיםshotimשׁוֹתוֹתshototעָבָרשָׁתִיתִיshatitiשָׁתִינוּshatinuשָׁתִיתָshatitaשָׁתִיתshatitשְׁתִיתֶםshtitemשְׁתִיתֶןshtitenשָׁתָהshataשָׁתְתָהshatetaשָׁתוּshatuעָתִידאֶשְׁתֶּהeshteנִשְׁתֶּהnishteתִּשְׁתֶּהtishteתִּשְׁתִּיtishtiתִּשְׁתּוּtishtuתִּשְׁתֶּינָהtishtenaיִשְׁתֶּהyishteתִּשְׁתֶּהtishteיִשְׁתּוּyishtuתִּשְׁתֶּינָהtishtenaצִוּוּישְׁתֵה!‏shte!שְׁתִי!‏shti!שְׁתוּ!‏shtu!שְׁתֶינָה!‏shtena!			0-4 Food1 Level08 שׁ־ת־ה assimil-11
מִיץ	juice	ז	n			מִיצִים			0-4 Letters3 Level03 assimil-11
עָיֵיף	tired	ז	a	ע־י־פ		עֲיֵיפָה			1-17 Adjectives2 Level23 ע־י־פ assimil-12
לָמָה	why?		q				מַדּוּעַ?‏		1-06 Level18 Questions assimil-12
קַנְיוֹן	shopping mall; canyon	ז	n	ק־נ־ה			"both commonly [mis]pronounced ""ken.jon"" instead mall from the root, canyon from Spanish cañón"		1-09 Level29 Places ק־נ־ה assimil-12
קוֹנֶה²	buyer	ז	n	ק־נ־ה		קוֹנָה			1-01 1-20 ק־נ־ה assimil-12
שָׁבוּר	broken, fractured; depressed, despondent	ז	a	שׁ־ב־ר		שְׁבוּרָה	אבל היא כבר שבורה! הראש שבור וגם הרגליים שבורות.‏But it's broken already; the head's broken and the legs are broken too.		1-14 Level51 Passive שׁ־ב־ר assimil-13
שָׁלוֹשׁ	three	נ	#						0-7 Level17 numbers assimil-13
קָדוֹשׁ	holy, saint	ז	a n	ק־ד־שׁ		קְדוֹשָׁהּ			1-23 2-03 Level59 Religion ק־ד־שׁ assimil-13
עֶזְרָה	assistance, help	נ	n	ע־ז־ר		עֶזְרוֹת	אם הם פצועים, צריך להגיש להם עזרה.‏If they are injured, they should be given [handed] help.		2-09 Emergency Level39 ע־ז־ר assimil-13
עֶשֶׂר	ten	נ	#				הלכתי לישון בעשר.‏I went to bed at ten o'clock. אתה צריך להיות פה לפני עשר.‏You've got to be here before ten o'clock. הוא עלה ארצה לפני עשר שנים.‏He immigrated [ascended] to Israel ten years ago. החבר שלך חיכה לף עד עשר והלך.‏Your friend waited for you until ten and then left. הילדים רבים ומשלימים עשר פעמים כל יום.‏Children fight and make up ten times every day.		0-7 Level17 numbers assimil-13
טֶלֶפוֹן	telephone	ז	n			טֶלֵפוֹנִים			Level35 Objects assimil-13
אַלְחוּטִי	wireless, cordless	ז	a		al'chuti	אַלְחוּטִית	אַל‎ non- + חוּט‎ cable + ־ִי -ic		20 assimil-13
אֵיפֹה	where, at what place?		adv				אֵי‏ (here: where) + פֹּה (here) also הֲיָכָן אֵיפֹה אַתְּ?‏Where are you? אֵיפֹה אַתָּה גָּר?‏Where do you live? מְאֵיפֹה אַתָּה?‏Where are you from?		0-6 Level18 Questions assimil-13
יָד	arm, hand[le]	נ	n	י־ד			יָדוֹת plural indef.: handles יָדַיים dual indef.: arms, hands also: monument תרים את הידיים.‏Raise your hands. תוריד את הידיים!‏Hands off! / Get your hands off! בסוף הם לחצו ידיים.‏In the end they shook [pressed] hands. חבל ללכלך את הידיים.‏It's not worth [it's a pity] soiling one's hands. בבית הספר הכריתו אותי לכתוב ביד ימין.‏At school they forced me to write with my right hand.		0-5 1-12 Level58 Medical י־ד assimil-13
גַּם	also, too, further, additionally; even (though, if), despite that		conj						0-3 Conjunctions Level20 assimil-13
בְּעָיָה	problem	נ	n	ב־ע־ה		בְּעָיוֹת	אֵין בְּעָיָה‏‎no problem צריך למצוא פתרון לבעיה הזאת.‏A solution has to be found to this problem.		1-07 AbstractObjects1 Level37 ב־ע־ה assimil-13
מְכוֹנִית	car	נ	n	כ־ו־ן		מְכוֹנִיוֹת‏	המכונית כמעט דרסה אותו.‏The car nearly ran him over. אל תעברי עכשיו, יש מכוניות.‏Don't cross [pass] now, there are cars [coming].		1-14 Level33 Travel כ־ו־ן assimil-13
מֵאַיִן	where from? from what place?		adv				מאין את מכירה אותו?‏Where do you know him from?		0-2 assimil-15
חוֹף	beach, shore	ז	n	ח־ו־ף		חוֹפִים	על חוף הים יש מַצִּיל.‏There's a lifeguard [saver] at the beach.		1-17 ח־ו־ף assimil-15
שׂוֹחֶה	swims (m, s)	פָּעַ	v	שׂ־ח־ה		הוֹוֶהשׂוֹחֶהsocheשׂוֹחָהsochaשׂוֹחִיםsochimשׂוֹחוֹתsochotעָבָרשָׂחִיתִיsachitiשָׂחִינוּsachinuשָׂחִיתָsachitaשָׂחִיתsachitשְׂחִיתֶםschitemשְׂחִיתֶןschitenשָׂחָהsachaשָׂחֲתָהsachataשָׂחוּsachuעָתִידאֶשְׂחֶהescheנִשְׂחֶהnischeתִּשְׂחֶהtischeתִּשְׂחִיtischiתִּשְׂחוּtischuתִּשְׂחֶינָהtischenaיִשְׂחֶהyischeתִּשְׂחֶהtischeיִשְׂחוּyischuתִּשְׂחֶינָהtischenaצִוּוּישְׂחֵה!‏sche!שְׂחִי!‏schi!שְׂחוּ!‏schu!שְׂחֶינָה!‏schena!			1-26 Level42 Present1 שׂ־ח־ה assimil-15
חֲתִיכָה	piece, chunk, item; gorgeous, pretty woman (coll.)	נ	n	ח־ת־ך		חֲתִיכוֹת	babe, chick, …		1-16 Level35 Objects ח־ת־ך assimil-15
יָם	sea, ocean	ז	n	י־מ־ם		יַמִּים			0-1 Level40 Nature י־מ־ם assimil-15
אַז	then, next, at that time; so, thus, therefore; so (anyway)		adv pron				מה הוא ענה לך אז?‏What reply did he give you at the time? [What did he reply to you then?] אז תתכונן כבר עכשיו!‏So start preparing [prepare already] now! אז התלבשתי מהר ויצאתי.‏So I got dressed quickly and went out. אז התגלתה כוונתו האמיתית.‏Then his real intention became clear [was revealed]. מה שחסר לי אז, חסר לי גם היום.‏What I lacked then, I still lack today.		0-7 assimil-15
בָּר	bar	ז	n			בָּרִים	place to drink / meteorology		Level29 Places assimil-16
מִצְווָה	commandment	נ	n	צ־ו־ה		מִצְווֹת	"also as ""good deed"" in liberal Judaism היא שומרת מצוות.‏She is observant [observes the religious law]."		2-04 צ־ו־ה assimil-16
בְּקָרוֹב	soon, shortly; trailer (movie)		adv						Adverbs Level24 assimil-16
קָרוֹב	close, near, [up]coming	ז	a	ק־ר־ב		קְרוֹבָה			1-13 1-24 Adjectives1 Level12 ק־ר־ב assimil-16
מַזָּל	luck, (good) fortune; fate, destiny; sign of the Zodiac	ז	n			מַזָּלוֹת			0-7 1-14 AbstractObjects2 Level56 assimil-16
לִקְנוֹת	to buy, purchase; to get, obtain, acquire	פָּעַ	v	ק־נ־ה		הוֹוֶהקוֹנֶהkoneקוֹנָהkonaקוֹנִיםkonimקוֹנוֹתkonotעָבָרקָנִיתִיkanitiקָנִינוּkaninuקָנִיתָkanitaקָנִיתkanitקְנִיתֶםknitemקְנִיתֶןknitenקָנָהkanaקָנְתָהkantaקָנוּkanuעָתִידאֶקְנֶהekneנִקְנֶהnikneתִּקְנֶהtikneתִּקְנִיtikniתִּקְנוּtiknuתִּקְנֶינָהtiknenaיִקְנֶהyikneתִּקְנֶהtikneיִקְנוּyiknuתִּקְנֶינָהtiknenaצִוּוּיקְנֵה!‏kne!קְנִי!‏kni!קְנוּ!‏knu!קְנֶינָה!‏knena!	קָנִיתִי אֶתְמוֹל פִּיצָה.‏Yesterday I bought pizza. הוא רוצה לקנות דירה.‏He wants to buy an apartment.		1-01 Infinitives1 Level45 ק־נ־ה assimil-16
שִׂמְלָה	dress, gown, robe	נ	n	שׂ־מ־ל		שְׂמָלוֹת	הוא קנה אוטו חדש והיא קנתה שמלה חדשה.‏He bought a new car and she bought a new dress. השמלה הזאת מתאימה לי?‏Does this dress fit / suit me? כן, אבל, מותק, צווארון ירוק, זה לא מתאים לשמלה ורודה.‏Yes, but, honey, a green collar doesn’t go with a pink dress.		1-22 Clothing Level14 שׂ־מ־ל assimil-16
יָפָה	beautiful, pleasant, pretty; nice, fine, well	נ	a	י־פ־ה		יָפוֹת	"יַלְדָּה יְפַת־עֵינַיִם‎girl with beautiful [""of""] eyes היא רוקדת יפה.‏She dances well. התקדמת יפה בעברית.‏You've progressed well in Hebrew. תוכנית יפה, אבל עוד צריך לבצע אותה.‏A fine plan, but it still has to be implemented."		1-02 AdjectivesIntro Letters3 Level03 Level07 י־פ־ה assimil-16
שֶׁל	of, belonging to, owned by		prep			שֶׁלִּישֶׁלָּנוּשֶׁלְּךָשֶׁלָּךְשֶׁלָּכֶםשֶׁלָּכֶןשֶׁלּוֹשֶׁלָּהּשֶׁלָּהֶםשֶׁלָּהֶן	ש־‏ which +‎ ל־‏ to		0-2 Level11 Possessives1 assimil-16
שֶׁבַע	seven	נ	#				כל יום אני קם בשבע, אבל אתמול קמתי בטש.‏Every day I get up at seven o'clock, but yesterday I got up at six. התחלתי לעבוד בשבע, המשכתי אחרי הצהריים והפסקתי בארבע בדיוק.‏I started working at seven, continued in the afternoon and stopped at four o'clock sharp.		0-7 Level17 numbers assimil-17
פֹּה	here, (in/at) this place¹		adv				"also כָּאן אתה גָּר פה?‏Do you live here? בָּאתִי לפה לִפְנֵי שָׁעָה.‏I came (""to"") here an hour ago."		0-5 assimil-17
בָּלָאגָן	mess	ז	n	ב־ל־ג־ן		בָּלָגָנִים	"From Persian for balcony (בַּלְקוֹן) / attic, into Turkish & Russian as warehouse, some which became used for ""messy"" theater performances referred as such, then via First Aliyah immigrants into Modern Hebrew slang."		L017 Level70 WelcomeToIsrael assimil ב־ל־ג־ן assimil-17
