#separator:tab
#html:false
#tags column:13
אִימָא	mom		נ	n			אִימָּהוֹת	sing. less formal than אֵם	אימא שלי שוכנת בתל אביב.‏My mother resides in Tel Aviv.			DL::01 DL::Letters1 HfS::0::1 HfS::1::28
אִישׁ	man, person		ז	n	א־נ־שׁ		אֲנָשִׁים	pl.: people a generic (אִישׁ) vs. particular (גֶבֶר) man	איש לא יודע.‏No one knows.איש מת לא מגלה סודות.‏Dead men tell no tales.אנחנו צריכים לצאת עם אנשים אחרים.‏We should see other people.אני מתחבר עם אנשים שמדברים את השפה.‏I make friends with people who speak that language.לאחרונה אנשים שואלים אותי איך אני לומד עברית כל כך מהיר.‏Recently, people ask me what I am learning Hebrew so fast.מפולת השלגים הרסה את אתר הסקי, אך למרבה המזל איש לא נפגע.‏The avalanche destroyed the ski resort, but luckily, nobody was hurt.להיות במקומות שבהם אנשים מדברים את השפה נותן הרבה מוטיבציה.‏Being in places where people speak the language is great motivation.מתישהו בחיים את תביני שיש אנשים שיכולים להישאר בליבך אבל לא בחייך.‏At some point in your life, you will become aware that some people can stay in your heart but not in your life.איש עסקים בינלאמיinternational businessmanשואל את איש המכירותask the salesperson	לא צריך לבקש יותר מדי מאנשים.‏[You] shouldn't ask too much of people.האיש הזה מלומד מאוד, וגם אישתו מלומדת.‏This man is very learned, and his wife is learned too.	👨🏽	DL::30 DL::People HfS::0::2 א::נ::שׁ
אִישָּׁה	woman, wife		נ	ni	א־נ־שׁ		נָשִׁים אֵשֶׁת־・נְשֵׁי־/נְשׁוֹת־		אישה ואםwife and motherהיא אישה יפה.‏She is a beautiful woman.חנות נעליים לנשיםwomen's shoe storeאישה יפה עם שיער ג'ינג'יpretty woman with red hairאישה בעלת שיער בלונדיניblonde-haired womanהאִישָּׁה מַדְגִּימָה כֵּיצַד לְנַפֵּחַ את המָצוֹף.‏The woman is demonstrating how to inflate the life-jacket.	"אישה זקנה דפקה על החלון.‏An old woman knocked on the window.פתאום נשמע פיצוץ, אחר-כך נשמעה צעקה של אישה.‏There was a sudden explosion [suddenly an explosion was heard], then a woman's scream was heard.במקום ""הוא נשא אותה לאישה"" אומרים היום ""הוא התחתן אֶתה"".‏Instead of ""he took her to be his wife"" we say nowadays “he married her""."	👩🏽	DL::02 DL::05 DL::25 DL::Basics DL::Family DL::Letters2 HfS::0::2 א::נ::שׁ
גְּלִידָה	ice-cream		נ	n	ג־ל־ד		גְּלִידוֹת			הגלידה התחילה לנזול לו על היד.‏The ice cream started dripping onto his hand.חם היום. כולם יקנו גלידה או משקה קר.‏It's hot today. Everyone will buy ice-cream or a cold drink.		DL::13 DL::Food2 HfS::0::2 ג::ל::ד
דֶּגֶל	flag, banner		ז	n	ד־ג־ל		דְּגָלִים			הקבוצות צעדו על-פני הצופים, כשהן שרות ומנופפות בדגלונים.‏The teams marched past the spectators, while singing and waving flags.		DL::35 DL::Objects HfS::0::2 ד::ג::ל
הַר	mountain		ז	n			הָרִים‏ ・ הֲרָרִים		רכס הרים יפהbeautiful mountain range		⛰️	DL::40 DL::Nature HfS::0::2
יֶלֶד	boy		ז	n	י־ל־ד		יְלָדִים	"pl. commonly as ""children"""	"הוא ילד גדול.‏He's a big boy.‏""בקיבוץ לא מרעיבים ילדים,"" אמרה דבורה קידר.‏""Kibbutz children do not starve,"" said Dvora Kedar."		👦🏽	DL::02 DL::05 DL::Basics DL::Letters2 HfS::0::2 י::ל::ד
יַלְדָה	girl, child		נ	n	י־ל־ד		יְלָדוֹת		ילדה נבונה.‏Clever girl.הִיא יַלְדָּה גְּדוֹלָה – אִי אֶפְשָׁר לְהַכְרִיחַ אוֹתָהּ לַעֲשׂוֹת דְּבָרִים נֶגֶד רְצוֹנָהּ.‏She's a big kid – you can't [it's impossible] force her to do things against her will.	הילדה כמעט נִדְרְסָה.‏The girl was almost run over.	👧🏽	DL::02 DL::10 DL::Letters2 DL::Plurals HfS::0::2 י::ל::ד
שִׁיר	song, poem		ז	n	שׁ־י־ר		שִׁירִים		אשנן חמישה שירים בעברית.‏I'll memorize 5 Hebrew songs.שיר שירים בשפה שאתה לומד.‏Sing songs in the language you're learning.שיר יחד עם השירים שאתה אוהב בשפה שאתה לומד.‏Sing along to your favorite songs in the language you're studying.	השיר הזה הוא הכי אהוב עליי.‏I like this song best. [This song is the most liked by me.]מה דעתך לכלול את השיר בספר החדש?‏How about [what's your opinion] including the poem in the new book?		DL::63 DL::Music HfS::0::2 שׁ::י::ר
שֶׁמֶשׁ	sun		נ	n	שׁ־מ־שׁ		שְׁמָשׁוֹת	שְׁמָשִׁים also possible as celestial body (both phys.: esp. source of sunlight & metaph.) חַמָּה → provider of warmth	השמש זוהרת.‏The sun is bright.יש לי כוויות שמש.‏I have a sunburn.ערפדים מפחדים מהשמש.‏Vampires fear the sun.משקפי השמש האלה חדשים.‏These sunglasses are new.התיירים צופים בשקיעת השמש.‏The tourists are watching the sunset.התיירים ראו את שקיעת השמש.‏The tourists saw the sunset.השמש זורחת במזרח ושוקעת במערב.‏The sun rises in the east and sets in the west.בימים שמשיים, חוף הים מלא מאוד באנשים.‏On sunny days, the beach is very crowded.שמש של צהרייםmidday sun		🌞	DL::28 DL::Weather HfS::0::2 שׁ::מ::שׁ
תַלְמִיד	pupil, student, disciple;  cadet		ז	n	ל־מ־ד				התלמידים ענו לשאלות.‏The students answered the questions.תלמידי התיכון למדו בספריה.‏The high school students studied in the library.	המורה שוחח עם התלמידים.‏The teacher had a talk with the pupils.התלמידים מכינים את השיעורים בערב.‏The students prepare the lessons in the evening.		DL::19 DL::Occupations HfS::0::2 ל::מ::ד
תַלְמִידָה	pupil		נ	n	ל־מ־ד					רק לפני רגע אני בעַצְמִי הייתי תלמידה.‏I was very recently a student, myself.		HfS::0::2 ל::מ::ד
מֵאַיִן	where from, whence	from what place?		adv						מאין את מכירה אותו?‏Where do you know him from?		HfS::0::2
הַ־	the, this			ptcl				modern use: before the noun, incl. construct ones	הַיּוֹם יום שבת, הַ-10 בספטמבר.‏Today is Saturday, September 10th.			HfS::0::2
מִ־ / מֵ־ / מִן	from, of;  than, compared to; for, due to;  without			ptcl				מֵ־‏ for gutterals א, ה, ח, ע, ר except: מִחוּטthread, מִחוּץoutsite, מִהֱיוֹתfrom being‏ – rule nowadays often ignored מִן (formal): standalone or when definite הַ־ follows from inside ofmore thanwithout: + Neg.		יצאתי מֵהחדר.‏I left the room.ההצגה הייתה יוֹצֶאת מִן הַכְּלָל.‏The show was outstanding.אני צָמֵא יותר מֵאֲשֶׁר הייתי קוֹדֵם.‏I'm more thirsty than I was before.רק מִסיבה אחת הסכמתי: ביקשת.‏For only one reason did I agree to: you asked.היית יושב על חָבִית אֲבַק שְׂרֵיפָה מִבְּלִי לדעת את זה.‏You could be sitting on a powder keg without knowing it.היא הולכת לחנויות פְּטוּרוֹת מִמֶכֶס כדי לקנות הרבה סיגריות.‏She would go to duty-free [exempt from customs] stores to buy a lot of cigarettes.		DL::16 DL::Prepositions1 HfS::0::2
שֶׁל	of, belonging to, owned by			prep			שֶׁלִּישֶׁלָּנוּשֶׁלְּךָשֶׁלָּךְשֶׁלָּכֶםשֶׁלָּכֶןשֶׁלּוֹשֶׁלָּהּשֶׁלָּהֶםשֶׁלָּהֶן	ש־which + ל־to	מי האבא של מריו?‏Who is Mario's father?מה שלומה של מרי?‏How is Mary?ישנם סוגים רבים של כלי נגינה.‏There are many kinds of musical instruments.השכלה טובה חשובה לעתידו של אדם.‏A good education is important for one's future.האיש פותח את הדלת של האוטו עם המפתח.‏The man is unlocking the car door with the key.היא קנתה לעצמה שם של אשת עסקים מוצלחת.‏She made a reputation for herself as a successful businesswoman.היום מתחיל אחרי מחלומות והפחדים של הלילה.‏The day starts after the dreams and fears of the night.מאיזה סוג של כלי רכב אתה הכי נהנה בנסיעה?‏What kind of vehicle do you enjoy riding the most?מה שוויים של 5000 ין יפני בדולרים אמריקאים?‏How much is 5000 Japanese Yen in US dollars?שמש של צהרייםmidday sun			DL::11 DL::Possessives1 HfS::0::2
אִירְלַנְד	Ireland		נ	n				"Old Irish Ériu from Proto-Indo-European *piHwer-, ""fat, prosperous"""		צפון אירלנד עמדה עַל סִיפָּהּ של מלחמת אזרחים.‏Northern Ireland stood on the brink of civil war.	🇮🇪	HfS::0::2
אַנְגְלִיָה	England		נ	n				Old English Englaland“land of the Angles”	"אחותי הקטנה נסעה לאנגליה ללמוד בחו""ל.‏My younger sister went to England to study abroad."		🏴󠁧󠁢󠁥󠁮󠁧󠁿	DL::33 DL::Travel HfS::0::2
גֶרְמַנְיָה	Germany		נ	n						היַמָּה מספקת מים מְתוּקִים לערים רבות בדרום גרמניה.‏The lake supplies potable water for many towns in south Germany.	🇩🇪	DL::33 DL::Travel HfS::0::2
יַרְדֵּן	Jordan		נ	n			הַיַרְדֵּןJordan River	also a given name unclear etym.		בִּקְעָת הַיַרְדֵּן נותקה משאר המדינה.‏The Jordan [Rift] Valley was cut off from the rest of the country.		HfS::0::2
יִשְׂרָאֵל	Israel		נ	n				"Name given as יִשְׂרֶה אֵל‎ to Jacob in Genesis 32:29. Already attested as personal name in Eblaite & Ugaritic, translated as ""he wrestles / prevails with God"" or ""God rules"". Stele during Pharao Merneptah (13th c. BCE) deemed earliest written attestation."	זאת בעקבות הסכם השלום בין ישראל למצרים, […]‏This followed the peace agreement between Israel and Egypt, […]		🇮🇱	DL::29 DL::Places HfS::0::2
תֵימָן	Yemen		נ	n				Biblical south: former region in Edom (once a kingdom below the Dead Sea)		קְהִילּוֹת שלמות, כגון אלה מתימן עלו ארצה.‏Whole communities such as those from Yemen came to Israel.יישוב זה, מושבה קטנה של בני-תימן, עומד על פרשת הדרכים.‏This settlement, a small village of Yemenites, stands on the crossroads’‏.	🇾🇪	HfS::0::2
נְתַנְיָה	Netanya		נ	n				City founded 1929 in the Northern Central District, population ~210k. After 🇺🇸 philanthropist Nathan Straus.		אנחנו אוהבים את נתניה ומַזְמִינִים אֶתְכֶם לְבַלּוֹת בה יחד אִיתָּנוּ.‏We love Netanya and invite you to enjoy it together with us.		HfS::0::2
מַרְגָרִינָה	margarine		נ	n				"Ancient 🇬🇷 margarítēs""pearl"", allusion to its lustre"		אתה צריך מרגרינה כדי לְטַגֵּן את הפטריות.‏You need margarine to saute [fry] the mushrooms.		HfS::0::2
תֶּה	tea		ז	n			תִּים	Dutch thee ← Min Chinese ta/te (茶; orig. bitter herb, leaf)	קנקן תה קרiced tea pitcherספל תה ותחתיתteacup and saucer	שבי, תֵּיכֶף תְּקַבְּלִי תה.‏Sit down, you'll get some tea in a minute.	🍵	DL::13 DL::Food2 HfS::0::2
גַּם	also, too, as well, both;  even, despite			conj					גם שלומי טוב.‏I'm fine too.בשבילי גם כן?‏For me as well?האם גם ספוט הלך?‏Did Spot go, too?בַּשָּׁנָה הַבָּאָה גַּם אֲנִי אָצוּם.‏Next year I'll also fast.זה גם הדבר הכי יציב בחיים שלי.‏It's also the most stable thing in my life.			DL::20 DL::Conjunctions HfS::0::3
הִינֵה	here's, behold			ptcl prep						ניצחת בהִתְעָרְבוּת, הינה 10 דולר.‏You won the bet, here's ten dollars.		HfS::0::3
שָׁם	there	over …		adv				location some distance from speaker	האם ניתן יהיה להשיג שם מזון ושתייה?‏Can I get any refreshments over there?אתה הולך להיות שם בעוד שעה.‏You're going to be there in an hour.	אני אהיה שם בעוד שעה.‏I'll be there in an hour.שם מנצלים את הפועלים.‏The workers there are exploited.יש שם שוטר. היה שם שוטר.‏There's a policeman over there. There was a policeman over there.שם יתנו לך מה שאתה צריך.‏They'll give you what you need there.היה שם ברז אבל לא היו מים.‏There was a faucet there, but there was no water.שאלתי שם וענו לי שאין מקום.‏I asked over there and they replied that there was no room.האנדרטה שהוקמה שם יפה מאוד.‏The monument that was erected there is very impressive [beautiful].כאן בוניס בתיס חדשים, וגם שם יבנו בתים מפוארים.‏New houses are being built there, and luxury homes will be built there, too.		DL::24 DL::Adverbs HfS::0::3
לָגוּר	to reside, live		פָּעַ	v	ג־ו־ר		גָּרgarגָּרָהgaraגָּרִיםgarimגָּרוֹתgarotגַּרְתִּיgartiגַּרְנוּgarnuגַּרְתָּgartaגַּרְתְּgartגַּרְתֶּםgartemגַּרְתֶּןgartenגָּרgarגָּרָהgaraגָּרוּgaruאָגוּרagurנָגוּרnagurתָּגוּרtagurתָּגוּרִיtaguriתָּגוּרוּtaguruתָּגוֹרְנָהtagorna תְּגוּרֶינָהtegurenaיָגוּרyagurתָּגוּרtagurיָגוּרוּyaguruגּוּר!‏gur!גּוּרִי!‏guri!גּוּרוּ!‏guru!גּוֹרְנָה!‏gorna! גּוּרֶינָה!‏gurena!	in a specific location	איפה אתה גר?‏Where do you live?אתה גר בסביבה?‏Are you from around here?אני גר בירושלים.‏I live in Jerusalem.אני גר קרוב לאוניברסיטה.‏I live near the university.נעם היה החבר הכי טוב של יואבי והוא גר בדיוק בבית ממול.‏Noam was the best friend of Yoavi and he lives just next door.	הוא מעדיף לגור בצריף.‏He prefers to live in a hut.הבית שהוא גר בו חדש לגמרי.‏The house he lives in is completely new.הם מתכוונים לבוא לגור בסביבה.‏They mean to come and live nearby [in the area].איפה גרת קודם? – עד לפני שנה גרתי ברחוב הזה.‏Where did you live before? – Until a year ago I lived on this street.		DL::45 DL::Infinitives1 HfS::0::3 ג::ו::ר
לִלְמוֹד	to study, learn		פָּעַ	v	ל־מ־ד		לוֹמֵדlomedלוֹמֶדֶתlomedetלוֹמְדִיםlomdimלוֹמְדוֹתlomdotלָמַדְתִּיlamadetiלָמַדְנוּlamadnuלָמַדְתָּlamadetaלָמַדְתְּlamadetלְמַדְתֶּםlemadetemלְמַדְתֶּןlemadetenלָמַדlamadלָמְדָהlamdaלָמְדוּlamduאֶלְמַדelmadנִלְמַדnilmadתִּלְמַדtilmadתִּלְמְדִיtilmediתִּלְמְדוּtilmeduתִּלְמַדְנָהtilmadnaיִלְמַדyilmadתִּלְמַדtilmadיִלְמְדוּyilmeduלְמַד!‏lemad!לִמְדִי!‏limdi!לִמְדוּ!‏limdu!לְמַדְנָה!‏lemadna!		הוא לומד.‏He's studying.ללמוד משהו חדש.‏Learn something new.איפה למדת עברית?‏Where did you learn Hebrew?למדתי עברית בחודש אחד.‏I learned Hebrew in 1 month.למד לקרוא כמה שיותר מהר.‏Learn to read as fast as possible.תלמידי התיכון למדו בספריה.‏The high school students studied in the library.אלמד איך לדבר על אירועי עבר, הווה ועתיד.‏I'll learn how to talk about past, present and future events.	כבר למדת עברית?‏Have you leamed Hebrew yet?כן, למדתי קצת, אבל אני רוצה ללמוד עוד!‏Yes, I've learned a little, but I want to learn more!		HfS::0::3 ל::מ::ד
לָשִׁיר	to sing		פָּעַ	v	שׁ־י־ר		שָׁרsharשָׁרָהsharaשָׁרִיםsharimשָׁרוֹתsharotשַׁרְתִּיshartiשַׁרְנוּsharnuשַׁרְתָּshartaשַׁרְתְּshartשַׁרְתֶּםshartemשַׁרְתֶּןshartenשָׁרsharשָׁרָהsharaשָׁרוּsharuאָשִׁירashirנָשִׁירnashirתָּשִׁירtashirתָּשִׁירִיtashiriתָּשִׁירוּtashiruתָּשֵׁרְנָהtasherna תְּשִׁירֶינָהteshirenaיָשִׁירyashirתָּשִׁירtashirיָשִׁירוּyashiruשִׁיר!‏shir!שִׁירִי!‏shiri!שִׁירוּ!‏shiru!שֵׁרְנָה!‏sherna! שִׁירֶינָה!‏shirena!		ציפורים שרות.‏Birds sing.הציפורים שרו.‏The birds sang.האם ג'יין תשיר?‏Will Jane sing?אני דווקא אוהב לשיר למרות שאני לא טוב בזה.‏I actually like singing despite not being good at it.שיר יחד עם השירים שאתה אוהב בשפה שאתה לומד.‏Sing along to your favorite songs in the language you're studying.הקשבה לשירים בשפה מעודד אותי ללמוד להבין אותם.‏Listening to songs in the language encourages me to work to understand them!	אני לא אשיר כי אני לא יודע לשיר.‏I won't sing because I don't know how.לָשִׁיר שִׁירto sing a song		HfS::0::3 שׁ::י::ר
אוֹ	or, either			ptcl					האם למישהו יש הערות או רעיונות?‏Does anyone have any comments or thoughts?מה אהבת או לא אהבת בעבודה הקודמת שלך?‏What did you like or dislike about your previous job?שם עצם הוא בן אדם, מקום או דבר גם באנגלית.‏A noun is a person, place, or thing even in English.אני מדמיין שיום אחד אבקר או אגור במדינה הזו.‏I imagine that one day I will visit or live in that country!משפחה זה אומר שאף אחד לא נשאר מאחור או נשכח.‏Family means no one gets left behind or forgotten.צפה בסרטים או בתכניות טלויזיה בשפה שאתה לומד.‏Watch movies or TV shows in the language you're studying.קריאת ספרים בשפה שאתה לומד ברכבת או באוטובוס.‏Read books in the language you are learning on the train or bus.נצל את הזמן כשאתה בתחבורה ציבורית או בזמן המתנה.‏Use the time while on public transport or waiting.משמעות של האות הסינית למילה דאו היא כביש או דרך.‏The Chinese character for the word dao means road or way.אני מקשר מילים חדשות עם סיפורים, משחקים או סרטים.‏I associate new words with stories, games or movies.התמקד בדובר, התעלם מהסחות דעת פנימיות או חיצוניות.‏Focus on the speaker, avoid any internal or external distractions.חזור על שורה אחת מעניינת בשפת היעד בשקט או בקול רם.‏Repeat one interesting line in the target language silently or out loud.			HfS::0::3
וְ־	and			ptcl					עוֹשֶׁר וְאוֹשֶׁר!‏Wealth & happiness!			HfS::0::3
אַתֶם	you	pl.	ז	pro					אתם מעשנים?‏Do you smoke?האם אתם בטוחים?‏Are you sure?האם אתם מוכנים?‏Are you ready?אתם מוכנים להזמין?‏Are you ready to order?באיזו שעה אתם פותחים?‏What time do you open?באיזו שעה אתם סוגרים?‏What time do you close?אתם רשאים ללכת הביתה.‏You may go home.האם אתם מוכרים גלויות?‏Do you sell any postcards?אתם מקבלים כרטיסי אשראי?‏Do you take credit card?האם אתם מגישים קינוחים כלשהם?‏Do you have any desserts?האם אתם מגישים מנות קרות כלשהן?‏Do you serve any cold dishes?אַתֶּם צָמִים טוֹב בְּדֶרֶךְ כְּלָל?‏Do you [plural] fast well, generally?אַתֶּם לֹא שׁוֹמְעִים אֶת הַמּוּזִיקָה כִּי הָרַמְקוֹל מְכֻבֶּה.‏You [plural] don't hear the music because the speaker is turned off.			DL::05 DL::Basics HfS::0::3
אַתֶן	you	pl.	נ	pro					אתן מעשנות?‏Do you smoke?			DL::05 DL::Basics HfS::0::3
הֵם	they		ז	pro					הנה הם באים.‏Here they come.השמיים הם הגבול.‏The sky's the limit.השירותים הם בסוף המסדרון.‏The bathroom is at the end of the hallway.חמישים אחוזים משתים-עשרה הם שש.‏Fifty percent of twelve is six.גבולות השפה שלי הם גבולות עולמי.‏The limits of my language are the limits of my world.הם רוצים לגמור את כל העבודה לפני הגשם.‏They want to finish all the work before the rain.			DL::05 DL::Basics HfS::0::3
הֵן	they		נ	pro					עגבניות הן פירות.‏Tomatoes are fruit.מה הן ציפיות השכר שלך?‏What are your salary requirements?דקות הן 100 שעות 6000.‏6000 minutes equals 100 hours.מה הן מטרות הקריירה שלך?‏What are your career goals?מה הן החולשות והחוזקות שלך?‏What do you consider to be your strengths and weaknesses?			DL::05 DL::Basics HfS::0::3
זֶה	this		ז	pro, determ				"as determiner in ""this thing"": הַדַּבָר הַזֶּה דַּבָר זֶה (formal) pronoun sometimes ""that"" (eg: עם זה: with that) colloq. als gender-neutal ""it'"""	זה כשר?‏Is this kosher?זה שלי.‏That's mine.זה ענק.‏That's very big.זה הכול?‏Is that all?מי זה שם?‏Who's there?כל זה עבר.‏It's all over.זה רחב מדי.‏It's too large.זה לא יכאב.‏It won't hurt.האם זה נכון?‏Is it true?זה היה לילה.‏It was night.כמה זה עולה?‏How much is this [does this cost]?נועדנו זה לזו.‏We are meant to be together.היום זה יום ב'.‏It's Monday.תעשה את זה שוב!‏Do it again!	זֶה (שֵׁם שֶׁל הַבֵּן אָדָם)‏.‏This is (male person's name).		DL::02 DL::Letters2 HfS::0::3
זֹאת	this		נ	pro					זאת אהבה?‏Is this love?זאת אשמתי.‏I am to blame.זאת הבת שלי.‏This is my daughter.זאת ארץ יפה.‏This is a beautiful country.זאת הרכבת ל…?‏Is this the train to…?זאת לא בדיחה.‏It is no joke.האם נוכל לעשות זאת בהקדם האפשרי?‏Can we do it as soon as possible?			DL::02 DL::Letters2 HfS::0::3
אֵלֶּה	these			pro				pl. of זֶה	אלה עסקים.‏It's business.אלה החיים!‏This is life!אלה לא הדרואידים שאתם מחפשים.‏These aren't the droids you're looking for.	אלה בגדים מלוכלכים.‏These are dirty clothes.אל תשאלו שאלות טפשיות כאלה.‏Don't ask such silly questions.אני מקבל סחרחורת מהסיבובים האלה.‏These turns [in the road, …] make me dizzy.		HfS::0::3
לֹא	no, not			adv					לא תלך?‏Won't you go?על לא דבר.‏You're welcome.לא נראה לי.‏I don't think so.לא אכפת לי.‏I don't care.לא ידוע לי.‏I don't know.ג'ק לא כאן.‏Jack isn't here.זה לא מתאים.‏It doesn't fit.זה לא עניינך.‏It’s none of your business.לא כל כך טוב.‏Not very well.אף אחד לא יודע.‏No one knows.אני לא צריך קבלה.‏I don't need a receipt.לא התעוררתי בזמן.‏I overslept.אני הייתי לא בסדר.‏I was wrong.הרבה זמן לא התראנו.‏Long time no see.מעולם לא אהבתי את זה.‏I never liked this.מורים כמוך לא קל למצוא.‏Teachers like you are not easy to find.תודה, אבל אני לא אשתתף הפעם.‏Thanks, but I'm gonna sit this one out.מה אהבת או לא אהבת בעבודה הקודמת שלך?‏What did you like or dislike about your previous job?תָּהִיתִי מַדּוּעַ הֵם עוֹד לֹא הִגִּיעוּ.‏I was wondering why they hadn't arrived yet.לא משנה כמה תתקדם באיטיות, העיקר שאינך עוצר.‏It does not matter how slowly you go as long as you do not stop.לֹא נִגְרָם נֶזֶק לַמָּקוֹם עַל יְדֵי הַכֶּלֶב.‏No damage was caused to the place by the dog.אמרו לי שתהיה קבלת פנים יפה, אבל לא דובים ולא יער!‏I was told that there's going to be a nice reception, but there was none of that!תשובה לא נכונהincorrect answer			DL::01 DL::Letters1 HfS::0::3
