id,eng_text,heb_word,match_word,match_word_def,Levensht
L011.S04,With sugar or sweetener?,סוּכָּר,סוּכָּר,sugar,2
L011.S06,We're drinking orange juice.,שׁוֹתוֹת,שׁוֹתוֹת,"drink (f, p)",0
L011.S06,We're drinking orange juice.,מִיץ,מִיץ,juice,0
L012.S01,Oof! I am tired.,עָיֵף,עָיֵיף,tired,1
L012.S02,Why?,לָמָה,לָמָה,why?,0
L012.S03,The mall is tiring.,הַקַניוֹן,קַנְיוֹן,shopping mall; canyon,3
L012.S05,I'm not buying,קוֹנֶה,קוֹנֶה²,buyer,1
L012.S05,I'm not buying,אֲבָל,אֲבָל,"but, however",0
L013.N13,Thirteenth lesson,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1
L013.N13,Thirteenth lesson,שִׁעוּר,שָׁבוּר,"broken, fractured; depressed, despondent",2
L013.N13,Thirteenth lesson,שׁלוֹשׁ,שָׁלוֹשׁ,three,1
L013.N13,Thirteenth lesson,שׁלוֹשׁ,קָדוֹשׁ,"holy, saint",3
L013.N13,Thirteenth lesson,עֶשׂרֵה,עֶזְרָה,"assistance, help",3
L013.N13,Thirteenth lesson,עֶשׂרֵה,עֶשֶׂר,ten,3
L013.S02,They (m) are talking on a cordless (wireless) phone.,בְּטֶלֶפוֹן,טֶלֶפוֹן,telephone,3
L013.S02,They (m) are talking on a cordless (wireless) phone.,אַלחוּטִי,אַלְחוּטִי,"wireless, cordless",1
L013.S03,Where are Leah and Sarah?,אֵיפֹה,אֵיפֹה,"where, at what place?",0
L013.S04,They (f pl) are speaking on a mobile phone.,נַיָד,יָד,"arm, hand[le]",2
L013.S05,I want a telephone,גַם,גַּם,"also, too, further, additionally; even (though, if), despite that",1
L013.S05,I want a telephone,טֶלֶפוֹן,טֶלֶפוֹן,telephone,0
L013.S06,No problem.  There is a hands-free set in the car.,בְּעָיָה,בְּעָיָה,problem,0
L013.S06,No problem.  There is a hands-free set in the car.,בַּמְכוֹנִית,מְכוֹנִית,car,3
L015.S01,Where are you coming from?,מֵאַיִן,מֵאַיִן,where from? from what place?,0
L015.S02,I (m) am coming from the beach.,מִחוֹף,חוֹף,"beach, shore",2
L015.S03,In the morning I swim in the sea.,בַּבּוֹקֶר,בּוֹקֶר,"morning, dawn",3
L015.S03,In the morning I swim in the sea.,שׂוֹחֶה,שׂוֹחֶה,"swims (m, s)",0
L015.S04,Are there hot chicks at the beach?,חֲתִיכוֹת,חֲתִיכָה,"piece, chunk, item; gorgeous, pretty woman (coll.)",3
L015.S05,"No, in the morning there aren't any hot chicks there.",שָׁם,יָם,"sea, ocean",2
L015.S06,No? So why do you go to the sea in the morning?,אָז,אַז,"then, next, at that time; so, thus, therefore; so (anyway)",1
L016.S00,Bar Mitzvah,בַּר,בָּר,bar,2
L016.S00,Bar Mitzvah,מִצוָה,מִצְווָה,commandment,2
L016.S01,What's new?,חָדָשׁ,חָדָשׁ,"new, current, recent[ly made]",0
L016.S02,It's my son Nethanel's Bar Mitzvah soon. I'm on a diet.,בְּקָרוֹב,בְּקָרוֹב,"soon, shortly; trailer (movie)",0
L016.S02,It's my son Nethanel's Bar Mitzvah soon. I'm on a diet.,בְּקָרוֹב,קָרוֹב,"close, near, [up]coming",3
L016.S03,Congratulations!,מַזָל,מַזָּל,"luck, (good) fortune; fate, destiny; sign of the Zodiac",1
L016.S04,But I don't understand.  Why go on a diet for a Bar Mitzvah?,אֲבָל,אֲבָל,"but, however",0
L016.S06,I'm on a diet because I want to buy a pretty dress for Nethanel's Bar Mitzvah!,לִקנוֹת,לִקְנוֹת,"to buy, purchase; to get, obtain, acquire",1
L016.S06,I'm on a diet because I want to buy a pretty dress for Nethanel's Bar Mitzvah!,שִׂמלָה,שִׂמְלָה,"dress, gown, robe",1
L016.S06,I'm on a diet because I want to buy a pretty dress for Nethanel's Bar Mitzvah!,יָפָה,יָפָה,"beautiful, pleasant, pretty; nice, fine, well",0
L016.S06,I'm on a diet because I want to buy a pretty dress for Nethanel's Bar Mitzvah!,שֶׁל,שֶׁל,"of, belonging to, owned by",0
L017.N17,Seventeenth lesson,שׁבַע,שֶׁבַע,seven,1
L017.N17,Seventeenth lesson,עֶשׂרֵה,עֶשֶׂר,ten,3
L017.S01,What's this mess?,פֹּה,פֹּה,"here, (in/at) this place¹",2
L017.S02,This isn't a mess.  I'm tidying my room!,בַּלַגָן,בָּלָאגָן,mess,4
L017.S02,This isn't a mess.  I'm tidying my room!,מְסַדֵר,מְסַדֵּר,"arranges, organizes (m, s)",1
L017.S02,This isn't a mess.  I'm tidying my room!,מְסַדֵר,לְסַדֵּר,"to organize, tidy, arrange",2
L017.S02,This isn't a mess.  I'm tidying my room!,הַחֶדֶר,חֶדֶר,room,2
L017.S04,This table here and these chairs there...,הַשׁוּלחָן,שׁוּלְחָן,"table, desk",3
L017.S04,This table here and these chairs there...,הָאֵלֶה,אֵלֶּה,these,3
L017.S04,This table here and these chairs there...,פֹּה,פֹּה,"here, (in/at) this place¹",2
L017.S05,Is this order?,סֵדֶר,סֵדֶר,"order, arrangement",0
L018.N18,Eighteenth lesson,שׁמוֹנֶה,שְׁמוֹנֶה,eight,1
L018.S00,The Marriage of Figaro,חֲתוּנַת,חֲתוּנָה,wedding,2
L018.S01,You're dressed up like a groom!,כּמוֹ,כְּמוֹ,"like, as",1
L018.S01,You're dressed up like a groom!,חָתָן,חָתָן,groom; son-in-law,0
L018.S02,Where are you going?,לְאָן,לְאָן,"where to, to what place?",0
L018.S02,Where are you going?,הוֹלֵך,הוֹלֵךְ,"walks, goes (m, s)",1
L018.S03,To 'The Marriage of Figaro' at the opera.,בָּאוֹפֶּרָה,אוֹפֶּרָה,opera,3
L018.S04,With whom?,עִם,עִם,with,0
L018.S04,With whom?,מִי,מִי,who?,0
L018.S07,She is the soprano in the opera. I am Avivah's husband.,בָּאוֹפֶּרָה,אוֹפֶּרָה,opera,3
L018.S07,She is the soprano in the opera. I am Avivah's husband.,הַבַּעַל,בַּעַל,"husband; owner, master",3
L018.S07,She is the soprano in the opera. I am Avivah's husband.,שֶׁל,שֶׁל,"of, belonging to, owned by",0
L019.N19,Nineteenth lesson,תשַׁע,תֵשַׁע,nine,1
L019.S00,A sporty family,מִשׁפָּחָה,מִשְׁפָּחָה,family,1
L019.S01,In the morning Dad plays football.,בַּבֹּקֶר,בּוֹקֶר,"morning, dawn",3
L019.S01,In the morning Dad plays football.,אַבָּא,אַבָּא,"father, dad",2
L019.S01,In the morning Dad plays football.,מְשַׂחֵק,מְשַׂחֵק,"plays, acts (m, s)",0
L019.S01,In the morning Dad plays football.,מְשַׂחֵק,לְשַׂחֵק,"to play (game, role)",1
L019.S01,In the morning Dad plays football.,כַּדוּרֶגֶל,כַּדּוּרֶגֶל,"soccer, football",1
L019.S02,Mom plays tennis on the beach.,אִמָא,אִימָא,mom,1
L019.S02,Mom plays tennis on the beach.,טֶנִיס,טֶנִיס,tennis,0
L019.S03,My big brother and my little brother play handball.,הַקָטָן,קָטָן,"small, little, young; diminutive, insignificant, unimportant",2
L019.S03,My big brother and my little brother play handball.,כַּדוּריָד,כַּדּוּר,"ball, sphere; bullet; pill, tablet",4
L019.S03,My big brother and my little brother play handball.,כַּדוּריָד,כַּדּוּרְסָל,basketball,4
L019.S04,My big sister and my little sister play basketball.,אֲחוֹתִי,אָחוֹת,sister; nurse,3
L019.S05,I play a video game at home.,בְּמִשׂחָק,מִשְׂחָק,"game, match",4
L019.S05,I play a video game at home.,וִידֵאוֹ,וִידֵאוֹ,"video, VCR",0
L019.S05,I play a video game at home.,בַּבַּיִת,בַּיִת,"house, home; stanza (music)",3
L020.N20,Twentieth lesson,עֶשׂרִים,עֶשְׂרִים,twenty,1
L020.N20,Twentieth lesson,עֶשׂרִים,הָעֶשְׂרִים,the twentieth,3
L020.S00,Weekend,סוֹף,סוֹף,"end, finish",0
L020.S00,Weekend,שָׁבוּעַ,שָׁבוּעַ,week,0
L020.S00,Weekend,שָׁבוּעַ,הַשָׁבוּעַ,this week,2
L020.S02,In the morning we swim in the pool.,בַּבּרֵכָה,בְּרֵיכָה,"(swimming) pool, pond",4
L020.S03,In the evening we go to friends.,בָּעֶרֶב,עֶרֶב,evening,3
L020.S04,We talk politics.,עַל,עַל,"on (top), about, super-, above, more/larger than",0
L020.S04,We talk politics.,פּוֹלִיטִיקָה,פּוֹלִיטִיקָה,politics,0
L020.S05,We chat and have a barbecue.,עַל,עַל,"on (top), about, super-, above, more/larger than",0
L020.S05,We chat and have a barbecue.,הָאֵשׁ,אֵשׁ,"fire, flame",2
